"DateTime","Counter-Strike: Global Offensive","Sid Meier's Civilization V","Grand Theft Auto V","Sid Meier's Civilization VI","The Elder Scrolls V: Skyrim Special Edition","Far Cry 5","PUBG: BATTLEGROUNDS","Monster Hunter: World","Assassin's Creed Odyssey","太吾绘卷 The Scroll Of Taiwu"
"2015-12-07 00:00:00",648944,48571,42033,,,,,,,
"2015-12-08 00:00:00",654479,41136,41307,,,,,,,
"2015-12-09 00:00:00",823694,38994,38525,,,,,,,
"2015-12-10 00:00:00",701795,39109,38404,,,,,,,
"2015-12-11 00:00:00",705268,44663,48294,,,,,,,
"2015-12-12 00:00:00",724807,57144,58526,,,,,,,
"2015-12-13 00:00:00",690672,57220,55751,,,,,,,
"2015-12-14 00:00:00",617022,48324,42424,,,,,,,
"2015-12-15 00:00:00",601776,42008,70249,,,,,,,
"2015-12-16 00:00:00",609226,40523,60246,,,,,,,
"2015-12-17 00:00:00",588824,41038,62919,,,,,,,
"2015-12-18 00:00:00",625551,45423,75375,,,,,,,
"2015-12-19 00:00:00",640096,56430,84853,,,,,,,
"2015-12-20 00:00:00",612170,59355,75261,,,,,,,
"2015-12-21 00:00:00",605194,53008,64910,,,,,,,
"2015-12-22 00:00:00",589295,52676,64727,,,,,,,
"2015-12-23 00:00:00",582223,57051,60288,,,,,,,
"2015-12-24 00:00:00",468987,53988,71567,,,,,,,
"2015-12-25 00:00:00",567501,56180,70323,,,,,,,
"2015-12-26 00:00:00",587894,64632,77678,,,,,,,
"2015-12-27 00:00:00",602105,69206,80719,,,,,,,
"2015-12-28 00:00:00",607841,66880,76519,,,,,,,
"2015-12-29 00:00:00",621422,66167,78354,,,,,,,
"2015-12-30 00:00:00",641488,66192,80913,,,,,,,
"2015-12-31 00:00:00",540459,63085,81891,,,,,,,
"2016-01-01 00:00:00",611343,76177,85031,,,,,,,
"2016-01-02 00:00:00",639407,74748,93713,,,,,,,
"2016-01-03 00:00:00",651264,73724,92488,,,,,,,
"2016-01-04 00:00:00",617618,65917,79310,,,,,,,
"2016-01-05 00:00:00",609398,55775,79444,,,,,,,
"2016-01-06 00:00:00",616314,53436,76464,,,,,,,
"2016-01-07 00:00:00",605054,52167,71385,,,,,,,
"2016-01-08 00:00:00",642655,56603,77570,,,,,,,
"2016-01-09 00:00:00",667432,70431,85627,,,,,,,
"2016-01-10 00:00:00",642996,69411,83001,,,,,,,
"2016-01-11 00:00:00",560999,58775,58979,,,,,,,
"2016-01-12 00:00:00",568200,47855,58011,,,,,,,
"2016-01-13 00:00:00",563938,45352,56419,,,,,,,
"2016-01-14 00:00:00",566576,45835,55101,,,,,,,
"2016-01-15 00:00:00",617636,52402,58430,,,,,,,
"2016-01-16 00:00:00",653887,66227,68437,,,,,,,
"2016-01-17 00:00:00",654226,66519,66632,,,,,,,
"2016-01-18 00:00:00",623119,56612,51319,,,,,,,
